beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state
Morland Old Speckled Hen,Greene King,Extra Special / Strong Bitter,4.5,0,,Mango Spice,,,52.5877,-1.82959,4.5,6/1/13 22:34,https://untappd.com/c/32434246,https://untappd.com/beer/3121,https://untappd.com/brewery/612,England,Bury St Edmunds,Suffolk
San Miguel,Mahou-San Miguel,Euro Lager,5,4,,,,,,,3.5,6/2/13 16:37,https://untappd.com/c/32560093,https://untappd.com/beer/6439,https://untappd.com/brewery/4726,Spain,28045 Madrid,Madrid
Pedigree,Marston's Beer Co,English Pale Ale,4.5,0,Very smoooth...,Cross Hands (Beefeater),Cheltenham,Gloucestershire,51.9163,-2.10514,4.5,6/11/13 21:08,https://untappd.com/c/33467172,https://untappd.com/beer/12892,https://untappd.com/brewery/1517,England,Burton-on-Trent,Staffordshire
Jail Ale,Dartmoor Brewery,English Bitter,4.8,0,Mmmmm,Sandford Park Alehouse,Cheltenham,Gloucestershire,51.8968,-2.07002,4.5,6/12/13 19:47,https://untappd.com/c/33538035,https://untappd.com/beer/19414,https://untappd.com/brewery/5304,England,Princetown,Devon
Kingfisher Premium Lager,United Breweries (India),Pale Lager,4.8,0,,Masala Bites,Cheltenham,Gloucestershire,51.9014,-2.07281,3.5,6/12/13 21:11,https://untappd.com/c/33541856,https://untappd.com/beer/17377,https://untappd.com/brewery/4657,India,,Bangalore
Stallion,Nick Stafford's Hambleton Ales,English Bitter,4.2,0,,,,,,,4.5,6/13/13 22:39,https://untappd.com/c/33632468,https://untappd.com/beer/132034,https://untappd.com/brewery/626,England,Melmerby,
Summer Ale,"Carolina Brewing Company (Holly Springs, NC)",American Pale Ale,4.8,0,Refreshing in the NC heat!,Residence Inn Raleigh Crabtree Valley,Raleigh,NC,35.8347,-78.6753,4,6/17/13 17:45,https://untappd.com/c/34152725,https://untappd.com/beer/187406,https://untappd.com/brewery/1826,United States,Holly Springs,NC
Milk Stout,The Duck-Rabbit Craft Brewery,Milk / Sweet Stout,5.7,0,A lovely creamy dessert in a bottle!,Residence Inn Raleigh Crabtree Valley,Raleigh,NC,35.8347,-78.6753,5,6/17/13 18:27,https://untappd.com/c/34156470,https://untappd.com/beer/5445,https://untappd.com/brewery/2682,United States,Farmville,NC
Buckshot Amber Ale ,Natty Greene's Brewing Co.,American Amber / Red Ale,4.8,25,I'm getting the caramel overtones :-),Natty Greene's Pub & Brewing,Raleigh,NC,35.7827,-78.6464,5,6/18/13 18:32,https://untappd.com/c/34227091,https://untappd.com/beer/8545,https://untappd.com/brewery/2010,United States,Greensboro,NC
Southern Pale Ale,Natty Greene's Brewing Co.,American Pale Ale,5.2,0,Cracking brew.,Natty Greene's Pub & Brewing,Raleigh,NC,35.7827,-78.6464,4.5,6/18/13 19:30,https://untappd.com/c/34234396,https://untappd.com/beer/7535,https://untappd.com/brewery/2010,United States,Greensboro,NC
